volt,photo,cap
0.1,0.0601,860
0.2,0.0598,859
0.3,0.0597,861
0.4,0.0596,861
0.5,0.0589,862
0.6,0.0574,863
0.7,0.0511,871
0.8,0.0191,918
0.9,0.0064,1009.3
1,0.111,1095.3
1.1,0.218,1170.4
1.2,0.281,1232.5
1.3,0.323,1284.1
1.4,0.34,1326.2
1.5,0.33,1361.3
1.6,0.301,1390.5
1.7,0.265,1415.4
1.8,0.231,1436.5
1.9,0.201,1455
2,0.177,1471
2.1,0.157,1485.4
2.2,0.141,1498.2
2.3,0.127,1509.8
2.4,0.115,1520
2.5,0.106,1529.5
3,0.073,1567.3
4,0.0431,1614.6
5,0.0291,1643.2
6,0.0215,1662.3
7,0.017,1675.8
8,0.014,1686
9,0.012,1693.8
10,0.0104,1700.2
11,0.0092,1705.4
12,0.0082,1709.8
13,0.0074,1713.6
14,0.0068,1716.9
15,0.00623,1719.9
