volt,photo,cap,
0.1,0.331,742.4134,
0.2,0.332,742.6508,
0.3,0.332,742.7826,
0.4,0.333,742.9016,
0.5,0.333,743.0839,
0.6,0.334,743.7327,
0.7,0.332,744.5,
0.8,0.328,747.2,
0.9,0.323,757.2,
1,0.291,790.3,
1.1,0.229,843.5,
1.2,0.162,900.7,
1.3,0.094,957.9,nF
1.4,0.0263,1013,1.013
1.5,-0.00019,1066.3,1.0663
1.6,0.0241,1115.6,1.1156
1.7,0.068,1161.1,1.1611
1.8,0.115,1202.6,1.2026
1.9,0.167,1241.2,1.2412
2,0.221,1276.2,1.2762
3,0.237,1490.5,1.4905
4,0.152,1584.7,1.5847
5,0.11,1638.4,1.6384
6,0.082,1673.8,1.6738
7,0.063,1699,1.699
8,0.051,1717.8,1.7178
9,0.0402,1732.4,1.7324
10,0.0335,1744,1.744
11,0.0286,1753.4,1.7534
12,0.0256,1761.1,1.7611
13,0.022,1767.7,1.7677
14,0.0199,1773.2,1.7732
15,0.0182,1778.1,1.7781
