volt,photo,cap
0.1,0.139,827
0.2,0.139,827
0.3,0.138,828
0.4,0.138,828
0.5,0.137,828
0.6,0.136,829
0.7,0.13,833
0.8,0.101,858
0.9,0.0134,934
1,0.0023,1021.5
1.1,0.086,1102.8
1.2,0.188,1173.1
1.3,0.255,1233.2
1.4,0.302,1283.3
1.5,0.33,1325.6
1.6,0.335,1360.9
1.7,0.317,1391
1.8,0.288,1416.5
1.9,0.256,1438.7
2,0.228,1458
2.1,0.203,1475.2
2.2,0.182,1490.4
2.3,0.164,1504
2.4,0.15,1516.1
2.5,0.137,1527.4
3,0.095,1571.5
4,0.0568,1626.3
5,0.0389,1659.5
6,0.029,1681.6
7,0.023,1697.2
8,0.0192,1708.9
9,0.0163,1717.9
10,0.0142,1725.2
11,0.0125,1731.1
12,0.0112,1736.1
13,0.0102,1740.4
14,0.0094,1744.1
15,0.0087,1747.4
