volt,photo,cap
0.1,-0.0005,932
0.2,-0.0005,933
0.3,-0.0005,933
0.4,-0.0006,934
0.5,-0.0006,934
0.6,-0.0006,938
0.7,0.0022,965
0.8,0.072,1044.3
0.9,0.206,1125.3
1,0.275,1194.7
1.1,0.309,1250.5
1.2,0.321,1295
1.3,0.306,1330
1.4,0.272,1358.6
1.5,0.232,1382.2
1.6,0.197,1401.8
1.7,0.167,1418.5
1.8,0.143,1439
1.9,0.124,1445.6
2,0.109,1456.6
2.1,0.096,1466.7
2.2,0.086,1475.6
2.3,0.077,1483.6
2.4,0.07,1490.9
2.5,0.064,1497.7
3,0.0439,1524.8
4,0.0246,1559
5,0.0162,1579.8
6,0.0118,1593.7
7,0.00916,1603.6
8,0.00745,1611.1
9,0.00625,1617.1
10,0.0053,1622
11,0.00465,1626.2
12,0.0041,1629.8
13,0.0036,1633
14,0.0033,1636.1
15,0.003,1639
