voltage,cap
0.1,1.23E-10
0.2,9.48E-11
0.3,8.74E-11
0.4,8.52E-11
0.5,8.44E-11
0.6,8.43E-11
0.7,8.43E-11
0.8,8.46E-11
0.9,8.51E-11
1,8.60E-11
1.1,8.74E-11
1.2,9.03E-11
1.3,9.68E-11
1.4,1.10E-10
1.5,1.26E-10
1.6,1.35E-10
1.7,1.41E-10
1.8,1.45E-10
1.9,1.49E-10
2,1.52E-10
2.1,1.55E-10
2.2,1.58E-10
2.3,1.60E-10
2.4,1.62E-10
2.5,1.64E-10
2.6,1.65E-10
2.7,1.67E-10
2.8,1.68E-10
2.9,1.70E-10
3,1.71E-10
3.1,1.72E-10
3.2,1.73E-10
3.3,1.74E-10
3.4,1.75E-10
3.5,1.75E-10
3.6,1.76E-10
3.7,1.77E-10
3.8,1.78E-10
3.9,1.78E-10
4,1.79E-10
4.1,1.79E-10
4.2,1.80E-10
4.3,1.80E-10
4.4,1.81E-10
4.5,1.81E-10
4.6,1.82E-10
4.7,1.82E-10
4.8,1.83E-10
4.9,1.83E-10
5,1.83E-10
5.1,1.84E-10
5.2,1.84E-10
5.3,1.85E-10
5.4,1.85E-10
5.5,1.85E-10
5.6,1.85E-10
5.7,1.86E-10
5.8,1.86E-10
5.9,1.86E-10
6,1.87E-10
6.1,1.87E-10
6.2,1.87E-10
6.3,1.87E-10
6.4,1.88E-10
6.5,1.88E-10
6.6,1.88E-10
6.7,1.88E-10
6.8,1.88E-10
6.9,1.89E-10
7,1.89E-10
7.1,1.89E-10
7.2,1.89E-10
7.3,1.89E-10
7.4,1.89E-10
7.5,1.90E-10
7.6,1.90E-10
7.7,1.90E-10
7.8,1.90E-10
7.9,1.90E-10
8,1.90E-10
8.1,1.90E-10
8.2,1.91E-10
8.3,1.91E-10
8.4,1.91E-10
8.5,1.91E-10
8.6,1.91E-10
8.7,1.91E-10
8.8,1.91E-10
8.9,1.92E-10
9,1.92E-10
9.1,1.92E-10
9.2,1.92E-10
9.3,1.92E-10
9.4,1.92E-10
9.5,1.92E-10
9.6,1.92E-10
9.7,1.92E-10
9.8,1.92E-10
9.9,1.93E-10
